member_id,scenario,observed_pvgis_year,climate_target,is_leap_year,row_count,timestamp_start_utc,timestamp_end_utc,member_path,member_sha256,metadata_path,metadata_sha256,T_min_C,T_max_C,T_mean_C,I_solar_min_W_m2,I_solar_max_W_m2,I_solar_mean_W_m2
weather_2050_rcp_4_5_pvgis_2008,rcp_4_5,2008,2041-2060,True,8784,2008-01-01T00:00:00+00:00,2008-12-31T23:00:00+00:00,data/processed/ensemble_2050/rcp_4_5/weather_2050_rcp_4_5_pvgis_2008.csv,5f49332612af2397fba73f533ae4841f209202be2749d26b81faf054da9fe077,data/processed/ensemble_2050/rcp_4_5/weather_2050_rcp_4_5_pvgis_2008.metadata.json,4b15d71c8dd9ee02a3d8bd53ee311b475ec429661ec9659366355ff95210e3ca,-5.1538360760,30.1812933842,11.1728451824,0.0000000000,959.7286836007,121.2882950956
weather_2050_rcp_4_5_pvgis_2009,rcp_4_5,2009,2041-2060,False,8760,2009-01-01T00:00:00+00:00,2009-12-31T23:00:00+00:00,data/processed/ensemble_2050/rcp_4_5/weather_2050_rcp_4_5_pvgis_2009.csv,fd87a5353592e17ff73e8745874e02868940501d2a818d5f44b766cae4c10fb5,data/processed/ensemble_2050/rcp_4_5/weather_2050_rcp_4_5_pvgis_2009.metadata.json,af714e1bea7cb700a3dc8a43f59610aa67ae590f18f0769525ed75a639f72d4c,-10.1791245130,33.2390779207,11.3174017415,0.0000000000,952.3182112011,128.5379791706
weather_2050_rcp_4_5_pvgis_2010,rcp_4_5,2010,2041-2060,False,8760,2010-01-01T00:00:00+00:00,2010-12-31T23:00:00+00:00,data/processed/ensemble_2050/rcp_4_5/weather_2050_rcp_4_5_pvgis_2010.csv,3416443e514891f304ecef2314bdad3cde8ff897194b892e9c23e1f2e7f9b452,data/processed/ensemble_2050/rcp_4_5/weather_2050_rcp_4_5_pvgis_2010.metadata.json,026f1c1811c4d9afa6f463211a97f392e34d8bf233bf0f6994e895d3d37ec9cd,-9.3338360760,33.2212933842,10.0106734310,0.0000000000,968.0199865767,125.3601478319
weather_2050_rcp_4_5_pvgis_2011,rcp_4_5,2011,2041-2060,False,8760,2011-01-01T00:00:00+00:00,2011-12-31T23:00:00+00:00,data/processed/ensemble_2050/rcp_4_5/weather_2050_rcp_4_5_pvgis_2011.csv,7a2a1266e8d47bff10ab982f340509ec06ad98632958c57763dde2c642a66d3b,data/processed/ensemble_2050/rcp_4_5/weather_2050_rcp_4_5_pvgis_2011.metadata.json,42565a9fa9263d122772d18c3b694c7daaa19ca024be8605fc1718eab6924be9,-3.8019655703,32.2244040765,12.0166494584,0.0000000000,959.6129296659,129.0275234939
weather_2050_rcp_4_5_pvgis_2012,rcp_4_5,2012,2041-2060,True,8784,2012-01-01T00:00:00+00:00,2012-12-31T23:00:00+00:00,data/processed/ensemble_2050/rcp_4_5/weather_2050_rcp_4_5_pvgis_2012.csv,cdc9304c44daf789b695658e8f5b70dec7bf48f0ff8b6f055e81769511d1d04d,data/processed/ensemble_2050/rcp_4_5/weather_2050_rcp_4_5_pvgis_2012.metadata.json,0a6a559833c84a2b8ebaa9997f70d83dc92075e333ecfac24c12147944f5b974,-11.0219655703,33.4790779207,11.1218467762,0.0000000000,965.9471608327,123.9103026848
weather_2050_rcp_4_5_pvgis_2013,rcp_4_5,2013,2041-2060,False,8760,2013-01-01T00:00:00+00:00,2013-12-31T23:00:00+00:00,data/processed/ensemble_2050/rcp_4_5/weather_2050_rcp_4_5_pvgis_2013.csv,9133e2249921db801af8e068d7fb5baef92bba02e5c99a3a8c2206051ae00032,data/processed/ensemble_2050/rcp_4_5/weather_2050_rcp_4_5_pvgis_2013.metadata.json,412be413ffbc64d4f696ca60ebc93457fac13a53d1a26246d9e574643e90a67b,-13.0843043819,32.7890779207,10.6760250292,0.0000000000,977.2967765379,123.1390086654
weather_2050_rcp_4_5_pvgis_2014,rcp_4_5,2014,2041-2060,False,8760,2014-01-01T00:00:00+00:00,2014-12-31T23:00:00+00:00,data/processed/ensemble_2050/rcp_4_5/weather_2050_rcp_4_5_pvgis_2014.csv,c24796d93306af87ecf923fffe437641061a2372219139eb6c062d742b3bf62f,data/processed/ensemble_2050/rcp_4_5/weather_2050_rcp_4_5_pvgis_2014.metadata.json,4f4974cc2a4f7c518ab278302a0e18418c998fa4abf0a344f8d263b7798028a1,-9.2038360760,31.5512933842,12.3630113305,0.0000000000,958.6922707287,128.7028453065
weather_2050_rcp_4_5_pvgis_2015,rcp_4_5,2015,2041-2060,False,8760,2015-01-01T00:00:00+00:00,2015-12-31T23:00:00+00:00,data/processed/ensemble_2050/rcp_4_5/weather_2050_rcp_4_5_pvgis_2015.csv,baba3dbca59061fa472eb7c69224dd3b984b50c1fc619afd2053a2950c2bbcd4,data/processed/ensemble_2050/rcp_4_5/weather_2050_rcp_4_5_pvgis_2015.metadata.json,1216ce43ee394579ef927a986e1b8dd3776da86efac22904513f8ccada53f4bc,-4.3219655703,33.7612933842,11.7869759424,0.0000000000,967.9298145366,133.3858241348
weather_2050_rcp_4_5_pvgis_2016,rcp_4_5,2016,2041-2060,True,8784,2016-01-01T00:00:00+00:00,2016-12-31T23:00:00+00:00,data/processed/ensemble_2050/rcp_4_5/weather_2050_rcp_4_5_pvgis_2016.csv,155f04f416d4f9d78cc3da3f4c251e1238fb8c3063fd263ee3ac38adec0fa4e7,data/processed/ensemble_2050/rcp_4_5/weather_2050_rcp_4_5_pvgis_2016.metadata.json,8bcf37993f68a39a004ea642aef4146c81bcdc6712c8c7081440b218df365130,-5.4119655703,31.6290779207,11.5981855740,0.0000000000,930.7091231847,122.9517902259
weather_2050_rcp_4_5_pvgis_2017,rcp_4_5,2017,2041-2060,False,8760,2017-01-01T00:00:00+00:00,2017-12-31T23:00:00+00:00,data/processed/ensemble_2050/rcp_4_5/weather_2050_rcp_4_5_pvgis_2017.csv,9a71b7af56435a77cb7967a628053a0bcd07e66704b3a56d6421abd1c7f78aa5,data/processed/ensemble_2050/rcp_4_5/weather_2050_rcp_4_5_pvgis_2017.metadata.json,b19130e0bb41418bd85bed28ed8db7dbd088403a1f1051bb1bab03d2c8208de9,-4.7391245130,33.9044040765,12.0789040246,0.0000000000,965.9471608327,127.1346097492
