archetype_id,climate_scenario_id,weather_member_id,occupant_seed,model_scenario_id,baseline_state_id,comparison_state_id,metric,baseline_value,comparison_value,delta
BE_TABULA_11,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,556301278,central,TABULA_existing,TABULA_advanced_A_proxy,heating_intensity_kWh_m2,173.14977393114032,28.208135139683996,-144.94163879145631
BE_TABULA_11,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,556301278,central,TABULA_existing,TABULA_advanced_A_proxy,cooling_intensity_kWh_m2,1.4970108384957255,3.2300999440263789,1.7330891055306534
BE_TABULA_11,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,556301278,central,TABULA_existing,TABULA_advanced_A_proxy,peak_heating_W,19641.99990349287,7606.85692057693,-12035.142982915939
BE_TABULA_11,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,556301278,central,TABULA_existing,TABULA_advanced_A_proxy,peak_cooling_W,7579.747605972083,4639.1029600661495,-2940.6446459059334
BE_TABULA_11,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,556301278,mass_heavy,TABULA_existing,TABULA_advanced_A_proxy,annual_heating_kWh,41034.211347758581,6696.8857572332154,-34337.325590525368
BE_TABULA_11,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,556301278,mass_heavy,TABULA_existing,TABULA_advanced_A_proxy,annual_cooling_kWh,231.38027157917426,636.05226059081599,404.6719890116417
BE_TABULA_11,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,556301278,mass_heavy,TABULA_existing,TABULA_advanced_A_proxy,heating_intensity_kWh_m2,172.12336974730948,28.090963746783622,-144.03240600052587
BE_TABULA_11,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,556301278,mass_heavy,TABULA_existing,TABULA_advanced_A_proxy,cooling_intensity_kWh_m2,0.97055483044955648,2.6680044487869798,1.6974496183374232
BE_TABULA_11,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,556301278,mass_heavy,TABULA_existing,TABULA_advanced_A_proxy,peak_heating_W,19384.24832630255,7464.1685069550203,-11920.079819347529
BE_TABULA_11,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,556301278,mass_heavy,TABULA_existing,TABULA_advanced_A_proxy,peak_cooling_W,6409.8352597004841,4221.3792537449381,-2188.4560059555461
BE_TABULA_11,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,1203443498,central,TABULA_existing,TABULA_advanced_A_proxy,annual_heating_kWh,41747.063210542066,6738.933631009445,-35008.129579532622
BE_TABULA_11,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,1203443498,central,TABULA_existing,TABULA_advanced_A_proxy,annual_cooling_kWh,375.19654050735681,825.89163859101689,450.69509808366007
