archetype_id,state_id,climate_scenario_id,weather_member_id,weather_pair_id,observed_pvgis_year,occupant_seed,baseline_model_scenario_id,comparison_model_scenario_id,comparison_model_scenario_axis,metric,baseline_value,comparison_value,delta
BE_TABULA_11,TABULA_existing,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,pvgis_2015,2015,556301278,central,mass_heavy,thermal_mass,cooling_intensity_kWh_m2,1.4970108384957255,0.97055483044955648,-0.52645600804616899
BE_TABULA_11,TABULA_existing,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,pvgis_2015,2015,556301278,central,mass_heavy,thermal_mass,peak_heating_W,19641.99990349287,19384.24832630255,-257.75157719031995
BE_TABULA_11,TABULA_existing,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,pvgis_2015,2015,556301278,central,mass_heavy,thermal_mass,peak_cooling_W,7579.747605972083,6409.8352597004841,-1169.9123462715988
BE_TABULA_11,TABULA_advanced_A_proxy,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,pvgis_2015,2015,1203443498,central,mass_heavy,thermal_mass,annual_heating_kWh,6738.933631009445,6697.6869508227855,-41.246680186659432
BE_TABULA_11,TABULA_advanced_A_proxy,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,pvgis_2015,2015,1203443498,central,mass_heavy,thermal_mass,annual_cooling_kWh,825.89163859101689,697.18480822931565,-128.70683036170124
BE_TABULA_11,TABULA_advanced_A_proxy,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,pvgis_2015,2015,1203443498,central,mass_heavy,thermal_mass,heating_intensity_kWh_m2,28.267339056247671,28.094324458149266,-0.1730145980984048
BE_TABULA_11,TABULA_advanced_A_proxy,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,pvgis_2015,2015,1203443498,central,mass_heavy,thermal_mass,cooling_intensity_kWh_m2,3.4643105645596344,2.9244329204249815,-0.53987764413465289
BE_TABULA_11,TABULA_advanced_A_proxy,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,pvgis_2015,2015,1203443498,central,mass_heavy,thermal_mass,peak_heating_W,7230.9129633720386,6915.0076230348832,-315.90534033715539
BE_TABULA_11,TABULA_advanced_A_proxy,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,pvgis_2015,2015,1203443498,central,mass_heavy,thermal_mass,peak_cooling_W,4534.3398351866299,4039.9473977428588,-494.39243744377109
BE_TABULA_11,TABULA_existing,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,pvgis_2015,2015,1203443498,central,mass_heavy,thermal_mass,annual_heating_kWh,41747.063210542066,41522.455256793248,-224.60795374881855
BE_TABULA_11,TABULA_existing,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,pvgis_2015,2015,1203443498,central,mass_heavy,thermal_mass,annual_cooling_kWh,375.19654050735681,248.10578355059738,-127.09075695675944
BE_TABULA_11,TABULA_existing,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,pvgis_2015,2015,1203443498,central,mass_heavy,thermal_mass,heating_intensity_kWh_m2,175.11352017844825,174.17137272144819,-0.94214745700006119
BE_TABULA_11,TABULA_existing,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,pvgis_2015,2015,1203443498,central,mass_heavy,thermal_mass,cooling_intensity_kWh_m2,1.5738109920610603,1.0407121793229757,-0.53309881273808468
BE_TABULA_11,TABULA_existing,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,pvgis_2015,2015,1203443498,central,mass_heavy,thermal_mass,peak_heating_W,19023.788401188292,18631.128321368185,-392.66007982010706
BE_TABULA_11,TABULA_existing,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,pvgis_2015,2015,1203443498,central,mass_heavy,thermal_mass,peak_cooling_W,7286.3282182383673,6354.7857235623078,-931.5424946760595
BE_TABULA_11,TABULA_advanced_A_proxy,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,pvgis_2015,2015,2404203277,central,mass_heavy,thermal_mass,annual_heating_kWh,6722.568831641117,6685.6371631961301,-36.931668444986826
BE_TABULA_11,TABULA_advanced_A_proxy,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,pvgis_2015,2015,2404203277,central,mass_heavy,thermal_mass,annual_cooling_kWh,780.38553113299815,648.11533909145066,-132.27019204154749
BE_TABULA_11,TABULA_advanced_A_proxy,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,pvgis_2015,2015,2404203277,central,mass_heavy,thermal_mass,heating_intensity_kWh_m2,28.198694763595288,28.043780046963633,-0.15491471663165512
BE_TABULA_11,TABULA_advanced_A_proxy,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,pvgis_2015,2015,2404203277,central,mass_heavy,thermal_mass,cooling_intensity_kWh_m2,3.2734292413296902,2.7186046102829304,-0.55482463104675972
BE_TABULA_11,TABULA_advanced_A_proxy,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,pvgis_2015,2015,2404203277,central,mass_heavy,thermal_mass,peak_heating_W,7305.2207077811536,7414.3060940220603,109.0853862409067
BE_TABULA_11,TABULA_advanced_A_proxy,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,pvgis_2015,2015,2404203277,central,mass_heavy,thermal_mass,peak_cooling_W,4750.4101608709234,4360.6174454327684,-389.79271543815503
BE_TABULA_11,TABULA_existing,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,pvgis_2015,2015,2404203277,central,mass_heavy,thermal_mass,annual_heating_kWh,41657.984480830011,41429.418385377081,-228.56609545293031
BE_TABULA_11,TABULA_existing,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,pvgis_2015,2015,2404203277,central,mass_heavy,thermal_mass,annual_cooling_kWh,361.82973582583259,238.93563439445117,-122.89410143138142
BE_TABULA_11,TABULA_existing,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,pvgis_2015,2015,2404203277,central,mass_heavy,thermal_mass,heating_intensity_kWh_m2,174.73986778871648,173.78111738832669,-0.95875040038978909
BE_TABULA_11,TABULA_existing,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,pvgis_2015,2015,2404203277,central,mass_heavy,thermal_mass,cooling_intensity_kWh_m2,1.5177421804774855,1.0022467885673287,-0.51549539191015681
BE_TABULA_11,TABULA_existing,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,pvgis_2015,2015,2404203277,central,mass_heavy,thermal_mass,peak_heating_W,19237.708241239809,18704.964813440107,-532.74342779970175
BE_TABULA_11,TABULA_existing,rcp_4_5,weather_2050_rcp_4_5_pvgis_2015,pvgis_2015,2015,2404203277,central,mass_heavy,thermal_mass,peak_cooling_W,7715.4651917747115,6571.5856380783571,-1143.8795536963544
