archetype_id,state_id,climate_scenario_id,model_scenario_id,metric,sample_count,weather_member_count,occupant_seed_count,minimum,p05,p25,median,mean,p75,p95,maximum,standard_deviation,interval_interpretation
BE_TABULA_11,TABULA_advanced_A_proxy,rcp_4_5,mass_heavy,peak_heating_W,6,2,3,6915.0076230348832,7039.8322407816777,7426.7716972553008,7700.9826919112111,7652.2256899928543,7956.7008091704447,8155.0552193392577,8219.0729191396349,476.42636154229058,descriptive empirical interval over included weather years and seeds
BE_TABULA_11,TABULA_advanced_A_proxy,rcp_4_5,mass_heavy,peak_cooling_W,6,2,3,4039.9473977428588,4055.6144938154575,4132.306649961175,4271.3396663524318,4240.2109716127679,4350.7881038145579,4386.7087651803377,4395.4058717628604,144.60372617131759,descriptive empirical interval over included weather years and seeds
BE_TABULA_11,TABULA_advanced_A_proxy,rcp_4_5,mass_heavy,heating_full_load_equivalent_hours,6,2,3,897.2045246557791,898.33369939013562,918.43406908174506,1100.9811386348683,1092.6583093818299,1266.2136774450369,1277.7188667362307,1277.9068180863326,188.79500758379771,descriptive empirical interval over included weather years and seeds
BE_TABULA_11,TABULA_advanced_A_proxy,rcp_4_5,mass_heavy,cooling_full_load_equivalent_hours,6,2,3,139.69195607851566,140.99669071675308,145.84048568887374,149.6516487266185,151.43778244530617,151.77936149512249,167.46650865007226,172.57274404583504,11.280306212604376,descriptive empirical interval over included weather years and seeds
BE_TABULA_11,TABULA_existing,rcp_4_5,central,annual_heating_kWh,6,2,3,41278.906105183851,41373.675699095387,41680.254163258025,47336.365414585351,47423.548073571154,53298.670878991688,53487.247620125418,53508.661727129656,6426.7603584969238,descriptive empirical interval over included weather years and seeds
BE_TABULA_11,TABULA_existing,rcp_4_5,central,annual_cooling_kWh,6,2,3,356.88738389738097,357.18891299104905,358.63727210342938,361.04916171169509,363.1897228606345,365.60437575417779,373.11305264642414,375.19654050735681,6.8370633050579643,descriptive empirical interval over included weather years and seeds
BE_TABULA_11,TABULA_existing,rcp_4_5,central,heating_intensity_kWh_m2,6,2,3,173.14977393114032,173.54729739553437,174.83328088614942,198.55857975916675,198.92427883209379,223.56825033134095,224.35926015153279,224.44908442587942,26.957887409802527,descriptive empirical interval over included weather years and seeds
BE_TABULA_11,TABULA_existing,rcp_4_5,central,cooling_intensity_kWh_m2,6,2,3,1.4970108384957255,1.4982756417409775,1.5043509735882103,1.5144679602000632,1.5234468240798431,1.5335754016534302,1.5650715295571482,1.5738109920610603,0.028678956816518282,descriptive empirical interval over included weather years and seeds
BE_TABULA_11,TABULA_existing,rcp_4_5,central,peak_heating_W,6,2,3,19023.788401188292,19077.268361201172,19338.781156803074,20695.089976769254,20739.306281653382,22204.769219981343,22409.638015485321,22427.19548399379,1605.334700497408,descriptive empirical interval over included weather years and seeds
BE_TABULA_11,TABULA_existing,rcp_4_5,central,peak_cooling_W,6,2,3,7286.3282182383673,7358.6493826264505,7576.6465583360459,7647.6063988733968,7648.8462233695982,7817.6728916404645,7876.0715238667708,7884.1813235126774,220.24735610150879,descriptive empirical interval over included weather years and seeds
