timestamp_utc,T_out_C,theta_air_C,theta_surface_C,theta_mass_C,theta_operative_C,theta_air_free_running_C,Phi_internal_W,Phi_solar_W,heating_demand_W,cooling_demand_W,theta_set_heat_C,theta_set_cool_C,H_ve_W_K,hrv_bypass_active
2015-06-21T08:00:00+00:00,17.214404076499999,20.000000000000004,19.328104475888619,18.818217023391554,19.529673133122035,18.680182036528098,329.5055320828867,1174.7527377296465,3004.6610497206648,0,20,26,245.05384000000001,False
2015-06-21T09:00:00+00:00,18.3344040765,19.999999999999996,19.600151426815312,19.123728279679042,19.720105998770716,19.554643403159222,1748.3554378639033,2107.2639440056073,1013.8865031382969,0,20,26,245.05384000000001,False
2015-06-21T10:00:00+00:00,19.1944040765,20,19.80267800528312,19.455540366511677,19.861874603698183,19.702239004844216,499.7204149251931,2628.9934857463381,677.87444104574365,0,20,26,245.05384000000001,False
2015-06-21T11:00:00+00:00,19.704404076500001,20.341089977613002,20.16813556701754,19.789285027186519,20.220021890196175,20.341089977613002,1592.3085425222209,2645.0976332505984,0,-0,20,26,245.05384000000001,False
2015-06-21T12:00:00+00:00,20.6744040765,20.541689951635359,20.461431195870727,20.142214175846284,20.485508822600117,20.541689951635359,529.05678113101192,3001.0175395061115,0,-0,20,26,245.05384000000001,False
2015-06-21T13:00:00+00:00,21.474404076500001,20.977626293675605,20.900847517335681,20.52630854995347,20.923881150237658,20.977626293675605,324.86646506094115,3712.8112217984126,0,-0,20,26,245.05384000000001,False
2015-06-21T14:00:00+00:00,21.664404076499999,21.65796293249344,21.408749912310181,20.953893443842695,21.483513818365157,21.65796293249344,1841.5976694173373,2587.3384858826021,0,-0,20,26,245.05384000000001,False
2015-06-21T15:00:00+00:00,21.224404076500001,21.59575935920855,21.556521069489342,21.305715767424314,21.568292556405105,21.59575935920855,472.45845281833152,2697.8988104861919,0,-0,20,26,245.05384000000001,False
2015-06-21T16:00:00+00:00,20.914404076499999,21.900668705576834,21.841926176662298,21.574380727100127,21.859548935336658,21.900668705576834,918.20686585753197,2713.0929880070425,0,-0,20,26,245.05384000000001,False
2015-06-21T17:00:00+00:00,20.004404076499998,21.862327965288095,21.877928226817524,21.758690355293595,21.873248148358694,21.862327965288095,795.10463882599822,1853.5409830809135,0,-0,20,26,245.05384000000001,False
2015-06-21T18:00:00+00:00,19.164404076499999,21.631276066845967,21.718436509757151,21.768116473237313,21.692288376883795,21.631276066845967,563.84341827511764,677.31560422861639,0,-0,20,26,245.05384000000001,False
2015-06-21T19:00:00+00:00,18.474404076500001,21.44074345954694,21.575786221256493,21.665528533383842,21.535273392743626,21.44074345954694,454.19597725992497,818.06330890824711,0,-0,20,26,245.05384000000001,False
2015-06-21T20:00:00+00:00,17.2644040765,21.128485060938914,21.291409160666536,21.479793231871952,21.24253193074825,21.128485060938914,687.79944471971055,0,0,-0,20,26,245.05384000000001,False
2015-06-21T21:00:00+00:00,16.1944040765,20.701475276855636,20.932908649738625,21.194113976938944,20.863478637873726,20.701475276855636,495.80632484193421,0,0,-0,20,26,245.05384000000001,False
2015-06-21T22:00:00+00:00,15.7744040765,20.693867877015943,20.789494037743388,20.917330353038938,20.760806189525155,20.693867877015943,1703.2115480388768,0,0,-0,20,26,245.05384000000001,False
2015-06-21T23:00:00+00:00,15.0844040765,19.933538786381451,20.251596123403921,20.601810726726335,20.15617892229718,19.933538786381451,22.235975679313658,0,0,-0,18,26,245.05384000000001,False
2015-06-22T00:00:00+00:00,14.704404076499999,19.536797604234106,19.853746507421956,20.202741638080454,19.758661836465599,19.536797604234106,22.235975679313658,0,0,-0,18,26,245.05384000000001,False
2015-06-22T01:00:00+00:00,14.394404076500001,19.151935893693619,19.463928202290337,19.807470204921525,19.370330509711319,19.151935893693619,22.235975679313658,0,0,-0,18,26,245.05384000000001,False
2015-06-22T02:00:00+00:00,14.304404076499999,18.80597219946711,19.101017149351748,19.425914069137729,19.012503664386355,18.80597219946711,22.235975679313658,0,0,-0,18,26,245.05384000000001,False
2015-06-22T03:00:00+00:00,14.154404076500001,18.468812119313675,18.751465198450681,19.062728875403842,18.666669274709577,18.468812119313675,22.235975679313658,0,0,-0,18,26,245.05384000000001,False
