scenario,target_year,region,archetype_id,dwelling_type,construction_period,renovation_state,state_dwellings,regional_modelled_stock_dwellings,cooling_case,cooling_variant_id,active_cooling,cooling_system,heating_system_reversible_cooling_capable,variant_share,variant_dwellings,source_id,assumption_id
central,2050,Flemish Region,BE_TABULA_03,Terraced house,pre-1946,TABULA_standard_B_proxy,292801.089711,3244134,no_active_cooling,inactive_cooling,false,none_active,false,1,292801.089711,STATBEL_HBS_2024,COOLING_CASES_V1
central,2050,Flemish Region,BE_TABULA_03,Terraced house,pre-1946,TABULA_standard_B_proxy,292801.089711,3244134,no_active_cooling,active_cooling,true,integrated_reversible_or_split_system_unspecified,false,0,0,STATBEL_HBS_2024,COOLING_CASES_V1
central,2050,Flemish Region,BE_TABULA_03,Terraced house,pre-1946,TABULA_standard_B_proxy,292801.089711,3244134,current_regional,inactive_cooling,false,none_active,false,0.87,254736.94804857,STATBEL_HBS_2024,COOLING_CASES_V1
central,2050,Flemish Region,BE_TABULA_03,Terraced house,pre-1946,TABULA_standard_B_proxy,292801.089711,3244134,current_regional,active_cooling,true,integrated_reversible_or_split_system_unspecified,false,0.13,38064.141662429996,STATBEL_HBS_2024,COOLING_CASES_V1
central,2050,Flemish Region,BE_TABULA_03,Terraced house,pre-1946,TABULA_standard_B_proxy,292801.089711,3244134,higher_uptake,inactive_cooling,false,none_active,false,0.74,216672.80638613997,STATBEL_HBS_2024,COOLING_CASES_V1
central,2050,Flemish Region,BE_TABULA_03,Terraced house,pre-1946,TABULA_standard_B_proxy,292801.089711,3244134,higher_uptake,active_cooling,true,integrated_reversible_or_split_system_unspecified,false,0.26,76128.28332485999,STATBEL_HBS_2024,COOLING_CASES_V1
central,2050,Flemish Region,BE_TABULA_03,Terraced house,pre-1946,TABULA_advanced_A_proxy,77383.52906729997,3244134,no_active_cooling,inactive_cooling,false,none_active,true,1,77383.52906729997,STATBEL_HBS_2024,COOLING_CASES_V1
central,2050,Flemish Region,BE_TABULA_03,Terraced house,pre-1946,TABULA_advanced_A_proxy,77383.52906729997,3244134,no_active_cooling,active_cooling,true,integrated_reversible_or_split_system_unspecified,true,0,0,STATBEL_HBS_2024,COOLING_CASES_V1
central,2050,Flemish Region,BE_TABULA_03,Terraced house,pre-1946,TABULA_advanced_A_proxy,77383.52906729997,3244134,current_regional,inactive_cooling,false,none_active,true,0.87,67323.67028855097,STATBEL_HBS_2024,COOLING_CASES_V1
central,2050,Flemish Region,BE_TABULA_03,Terraced house,pre-1946,TABULA_advanced_A_proxy,77383.52906729997,3244134,current_regional,active_cooling,true,integrated_reversible_or_split_system_unspecified,true,0.13,10059.858778748996,STATBEL_HBS_2024,COOLING_CASES_V1
