scenario,target_year,region,archetype_id,dwelling_type,construction_period,renovation_state,state_dwellings,regional_modelled_stock_dwellings,heating_variant_id,variant_share,variant_dwellings,energy_carrier,space_heating_system,dhw_system,heat_emitter,supply_temperature_c,ventilation_system,hrv_eta,summer_bypass,reversible_cooling_capable,source_id,assumption_id
low,2050,Flemish Region,BE_TABULA_08,Terraced house,1946-1970,renovated_TABULA_low_energy,33431.07470120331,3244134,renovated_air_water_heat_pump,1,33431.07470120331,electricity_plus_ambient_heat,air_water_heat_pump,heat_pump_DHW_tank_or_integrated_HP_DHW,low_temperature_radiators,45,balanced_mechanical_HRV,0.80,true,true,EC_EPBD_45C_GUIDANCE,RENOVATED_TECHNOLOGY_PACKAGE_V1
low,2050,Flemish Region,BE_TABULA_09,"Apartment, enclosed",1946-1970,as_is_TABULA,97249.18449131562,3244134,as_is_electricity,0.075,7293.688836848672,electricity,electric_resistance_or_existing_heat_pump_unspecified,electric_DHW_unspecified,direct_electric_or_hydronic_unspecified,,,,false,false,SCP_BE_SILC_2022,REGIONAL_AS_IS_HEATING_UNIFORM_V1+AS_IS_SYSTEM_MAPPING_V1
low,2050,Flemish Region,BE_TABULA_09,"Apartment, enclosed",1946-1970,as_is_TABULA,97249.18449131562,3244134,as_is_gas,0.712,69241.41935781672,gas,gas_boiler_unspecified,gas_DHW_or_combiboiler,standard_hydronic_radiators,,,,false,false,SCP_BE_SILC_2022,REGIONAL_AS_IS_HEATING_UNIFORM_V1+AS_IS_SYSTEM_MAPPING_V1
low,2050,Flemish Region,BE_TABULA_09,"Apartment, enclosed",1946-1970,as_is_TABULA,97249.18449131562,3244134,as_is_oil,0.147,14295.630120223395,oil,oil_boiler_unspecified,oil_DHW_or_separate_tank,standard_hydronic_radiators,,,,false,false,SCP_BE_SILC_2022,REGIONAL_AS_IS_HEATING_UNIFORM_V1+AS_IS_SYSTEM_MAPPING_V1
low,2050,Flemish Region,BE_TABULA_09,"Apartment, enclosed",1946-1970,as_is_TABULA,97249.18449131562,3244134,as_is_other,0.066,6418.446176426832,other,biomass_propane_district_or_other_lumped,other_or_unknown_DHW,unknown_or_hydronic_emitters,,,,false,false,SCP_BE_SILC_2022,REGIONAL_AS_IS_HEATING_UNIFORM_V1+AS_IS_SYSTEM_MAPPING_V1
low,2050,Flemish Region,BE_TABULA_09,"Apartment, enclosed",1946-1970,renovated_TABULA_low_energy,23926.57530968437,3244134,renovated_air_water_heat_pump,1,23926.57530968437,electricity_plus_ambient_heat,air_water_heat_pump,heat_pump_DHW_tank_or_integrated_HP_DHW,low_temperature_radiators,45,balanced_mechanical_HRV,0.80,true,true,EC_EPBD_45C_GUIDANCE,RENOVATED_TECHNOLOGY_PACKAGE_V1
low,2050,Flemish Region,BE_TABULA_10,"Apartment, exposed",1946-1970,as_is_TABULA,97249.18449131562,3244134,as_is_electricity,0.075,7293.688836848672,electricity,electric_resistance_or_existing_heat_pump_unspecified,electric_DHW_unspecified,direct_electric_or_hydronic_unspecified,,,,false,false,SCP_BE_SILC_2022,REGIONAL_AS_IS_HEATING_UNIFORM_V1+AS_IS_SYSTEM_MAPPING_V1
low,2050,Flemish Region,BE_TABULA_10,"Apartment, exposed",1946-1970,as_is_TABULA,97249.18449131562,3244134,as_is_gas,0.712,69241.41935781672,gas,gas_boiler_unspecified,gas_DHW_or_combiboiler,standard_hydronic_radiators,,,,false,false,SCP_BE_SILC_2022,REGIONAL_AS_IS_HEATING_UNIFORM_V1+AS_IS_SYSTEM_MAPPING_V1
low,2050,Flemish Region,BE_TABULA_10,"Apartment, exposed",1946-1970,as_is_TABULA,97249.18449131562,3244134,as_is_oil,0.147,14295.630120223395,oil,oil_boiler_unspecified,oil_DHW_or_separate_tank,standard_hydronic_radiators,,,,false,false,SCP_BE_SILC_2022,REGIONAL_AS_IS_HEATING_UNIFORM_V1+AS_IS_SYSTEM_MAPPING_V1
low,2050,Flemish Region,BE_TABULA_10,"Apartment, exposed",1946-1970,as_is_TABULA,97249.18449131562,3244134,as_is_other,0.066,6418.446176426832,other,biomass_propane_district_or_other_lumped,other_or_unknown_DHW,unknown_or_hydronic_emitters,,,,false,false,SCP_BE_SILC_2022,REGIONAL_AS_IS_HEATING_UNIFORM_V1+AS_IS_SYSTEM_MAPPING_V1
