scenario,target_year,region,archetype_id,dwelling_type,construction_period,renovation_state,state_dwellings,regional_modelled_stock_dwellings,pv_basis_year,dwelling_group,pv_variant_id,pv_installed,house_participation_rate,apartment_participation_rate,variant_share,variant_dwellings,assigned_capacity_kwp_per_participating_dwelling,allocated_capacity_mw,regional_basis_capacity_mw,raw_linear_capacity_mw_2050,rooftop_potential_mw,eligible_stock_capacity_mw,capacity_cap_reason,source_id,assumption_id
central,2050,Flemish Region,BE_TABULA_06,Detached house,1946-1970,TABULA_standard_B_proxy,158573.6233579,3244134,2024,house,no_pv,false,0.447065771645,0,0.552934228355,87680.78406892685,0,0,4441.78497,9148.001371988044,56967.685,10103.664612971113,observed_2024_small_system_stock,VEKA_FLUVIUS_PV_2024+REGIONAL_PV_TARGETS_2030+REGIONAL_PV_YIELD+VEKA_ROOFTOP_POTENTIAL,PV_PROXY_STOCK_ONLY_V1
central,2050,Flemish Region,BE_TABULA_06,Detached house,1946-1970,TABULA_standard_B_proxy,158573.6233579,3244134,2024,house,pv_installed,true,0.447065771645,0,0.447065771645,70892.83928897316,4.428495056336,313.948588320836,4441.78497,9148.001371988044,56967.685,10103.664612971113,observed_2024_small_system_stock,VEKA_FLUVIUS_PV_2024+REGIONAL_PV_TARGETS_2030+REGIONAL_PV_YIELD+VEKA_ROOFTOP_POTENTIAL,PV_PROXY_STOCK_ONLY_V1
central,2050,Flemish Region,BE_TABULA_06,Detached house,1946-1970,TABULA_advanced_A_proxy,45628.9579145,3244134,2050,house,no_pv,false,0.905414195978,0.226353548995,0.094585804022,4315.851671013477,0,0,9148.001371988044,9148.001371988044,56967.685,10103.664612971113,linear_trajectory,VEKA_FLUVIUS_PV_2024+REGIONAL_PV_TARGETS_2030+REGIONAL_PV_YIELD+VEKA_ROOFTOP_POTENTIAL,PV_PROXY_STOCK_ONLY_V1
central,2050,Flemish Region,BE_TABULA_06,Detached house,1946-1970,TABULA_advanced_A_proxy,45628.9579145,3244134,2050,house,pv_installed,true,0.905414195978,0.226353548995,0.905414195978,41313.10624348652,4.428495056336,182.954886761161,9148.001371988044,9148.001371988044,56967.685,10103.664612971113,linear_trajectory,VEKA_FLUVIUS_PV_2024+REGIONAL_PV_TARGETS_2030+REGIONAL_PV_YIELD+VEKA_ROOFTOP_POTENTIAL,PV_PROXY_STOCK_ONLY_V1
central,2050,Flemish Region,BE_TABULA_07,Semi-detached house,1946-1970,TABULA_existing,0,3244134,2024,house,no_pv,false,0.447065771645,0,0.552934228355,0,0,0,4441.78497,9148.001371988044,56967.685,10103.664612971113,observed_2024_small_system_stock,VEKA_FLUVIUS_PV_2024+REGIONAL_PV_TARGETS_2030+REGIONAL_PV_YIELD+VEKA_ROOFTOP_POTENTIAL,PV_PROXY_STOCK_ONLY_V1
central,2050,Flemish Region,BE_TABULA_07,Semi-detached house,1946-1970,TABULA_existing,0,3244134,2024,house,pv_installed,true,0.447065771645,0,0.447065771645,0,4.428495056336,0,4441.78497,9148.001371988044,56967.685,10103.664612971113,observed_2024_small_system_stock,VEKA_FLUVIUS_PV_2024+REGIONAL_PV_TARGETS_2030+REGIONAL_PV_YIELD+VEKA_ROOFTOP_POTENTIAL,PV_PROXY_STOCK_ONLY_V1
central,2050,Flemish Region,BE_TABULA_07,Semi-detached house,1946-1970,TABULA_standard_B_proxy,149704.22621790002,3244134,2024,house,no_pv,false,0.447065771645,0,0.552934228355,82776.590805343,0,0,4441.78497,9148.001371988044,56967.685,10103.664612971113,observed_2024_small_system_stock,VEKA_FLUVIUS_PV_2024+REGIONAL_PV_TARGETS_2030+REGIONAL_PV_YIELD+VEKA_ROOFTOP_POTENTIAL,PV_PROXY_STOCK_ONLY_V1
central,2050,Flemish Region,BE_TABULA_07,Semi-detached house,1946-1970,TABULA_standard_B_proxy,149704.22621790002,3244134,2024,house,pv_installed,true,0.447065771645,0,0.447065771645,66927.63541255704,4.428495056336,296.388702556763,4441.78497,9148.001371988044,56967.685,10103.664612971113,observed_2024_small_system_stock,VEKA_FLUVIUS_PV_2024+REGIONAL_PV_TARGETS_2030+REGIONAL_PV_YIELD+VEKA_ROOFTOP_POTENTIAL,PV_PROXY_STOCK_ONLY_V1
central,2050,Flemish Region,BE_TABULA_07,Semi-detached house,1946-1970,TABULA_advanced_A_proxy,44751.7647908,3244134,2050,house,no_pv,false,0.905414195978,0.226353548995,0.094585804022,4232.88165412604,0,0,9148.001371988044,9148.001371988044,56967.685,10103.664612971113,linear_trajectory,VEKA_FLUVIUS_PV_2024+REGIONAL_PV_TARGETS_2030+REGIONAL_PV_YIELD+VEKA_ROOFTOP_POTENTIAL,PV_PROXY_STOCK_ONLY_V1
central,2050,Flemish Region,BE_TABULA_07,Semi-detached house,1946-1970,TABULA_advanced_A_proxy,44751.7647908,3244134,2050,house,pv_installed,true,0.905414195978,0.226353548995,0.905414195978,40518.88313667396,4.428495056336,179.437673659014,9148.001371988044,9148.001371988044,56967.685,10103.664612971113,linear_trajectory,VEKA_FLUVIUS_PV_2024+REGIONAL_PV_TARGETS_2030+REGIONAL_PV_YIELD+VEKA_ROOFTOP_POTENTIAL,PV_PROXY_STOCK_ONLY_V1
