scenario,base_year,target_year,ARR,renovation_depth,depth_share,region,priority_rank_within_region_and_depth,archetype_id,dwelling_type,construction_period,source_state_id,destination_state_id,specific_heat_loss_z_W_m2K,initial_source_state_dwellings_2025,allocated_renovations_2025_2050,first_allocation_year,last_allocation_year,annual_regional_depth_quota_dwellings,nominal_depth_quota_to_2050_dwellings,applied_depth_renovations_to_2050_dwellings,unused_depth_quota_to_2050_dwellings,priority_metric,priority_tie_break,transition_event_definition,unique_dwelling_count_available
central,2025,2050,0.028,advanced,0.1,Flemish Region,26,BE_TABULA_07,Semi-detached house,1946-1970,TABULA_standard_B_proxy,TABULA_advanced_A_proxy,1.31055170631,42780.3180219,0,,,9083.575200000001,227089.38000000003,227089.38,0,specific_heat_loss_z_W_m2K_descending_current_state,physical-state order then TABULA type number,TABULA_standard_B_proxy_to_TABULA_advanced_A_proxy,false
central,2025,2050,0.028,advanced,0.1,Flemish Region,27,BE_TABULA_25,"Apartment, exposed",post-2005,TABULA_existing,TABULA_advanced_A_proxy,1.28147202797,86266.382345,0,,,9083.575200000001,227089.38000000003,227089.38,0,specific_heat_loss_z_W_m2K_descending_current_state,physical-state order then TABULA type number,TABULA_existing_to_TABULA_advanced_A_proxy,false
central,2025,2050,0.028,advanced,0.1,Flemish Region,28,BE_TABULA_05,"Apartment, exposed",pre-1946,TABULA_standard_B_proxy,TABULA_advanced_A_proxy,1.28147202797,17164.8287994,0,,,9083.575200000001,227089.38000000003,227089.38,0,specific_heat_loss_z_W_m2K_descending_current_state,physical-state order then TABULA type number,TABULA_standard_B_proxy_to_TABULA_advanced_A_proxy,false
central,2025,2050,0.028,advanced,0.1,Flemish Region,29,BE_TABULA_10,"Apartment, exposed",1946-1970,TABULA_standard_B_proxy,TABULA_advanced_A_proxy,1.28147202797,23123.2724144,0,,,9083.575200000001,227089.38000000003,227089.38,0,specific_heat_loss_z_W_m2K_descending_current_state,physical-state order then TABULA type number,TABULA_standard_B_proxy_to_TABULA_advanced_A_proxy,false
central,2025,2050,0.028,advanced,0.1,Flemish Region,30,BE_TABULA_15,"Apartment, exposed",1971-1990,TABULA_standard_B_proxy,TABULA_advanced_A_proxy,1.28147202797,23624.8745406,0,,,9083.575200000001,227089.38000000003,227089.38,0,specific_heat_loss_z_W_m2K_descending_current_state,physical-state order then TABULA type number,TABULA_standard_B_proxy_to_TABULA_advanced_A_proxy,false
central,2025,2050,0.028,advanced,0.1,Flemish Region,31,BE_TABULA_20,"Apartment, exposed",1991-2005,TABULA_standard_B_proxy,TABULA_advanced_A_proxy,1.28147202797,18649.3408892,0,,,9083.575200000001,227089.38000000003,227089.38,0,specific_heat_loss_z_W_m2K_descending_current_state,physical-state order then TABULA type number,TABULA_standard_B_proxy_to_TABULA_advanced_A_proxy,false
central,2025,2050,0.028,advanced,0.1,Flemish Region,32,BE_TABULA_25,"Apartment, exposed",post-2005,TABULA_standard_B_proxy,TABULA_advanced_A_proxy,1.28147202797,27505.2233564,0,,,9083.575200000001,227089.38000000003,227089.38,0,specific_heat_loss_z_W_m2K_descending_current_state,physical-state order then TABULA type number,TABULA_standard_B_proxy_to_TABULA_advanced_A_proxy,false
central,2025,2050,0.028,advanced,0.1,Flemish Region,33,BE_TABULA_22,Semi-detached house,post-2005,TABULA_existing,TABULA_advanced_A_proxy,1.25577084938,73737.5034307,0,,,9083.575200000001,227089.38000000003,227089.38,0,specific_heat_loss_z_W_m2K_descending_current_state,physical-state order then TABULA type number,TABULA_existing_to_TABULA_advanced_A_proxy,false
central,2025,2050,0.028,advanced,0.1,Flemish Region,34,BE_TABULA_22,Semi-detached house,post-2005,TABULA_standard_B_proxy,TABULA_advanced_A_proxy,1.24700021395,23510.5083402,0,,,9083.575200000001,227089.38000000003,227089.38,0,specific_heat_loss_z_W_m2K_descending_current_state,physical-state order then TABULA type number,TABULA_standard_B_proxy_to_TABULA_advanced_A_proxy,false
central,2025,2050,0.028,advanced,0.1,Flemish Region,35,BE_TABULA_14,"Apartment, enclosed",1971-1990,TABULA_existing,TABULA_advanced_A_proxy,1.22158481518,74096.1974229,0,,,9083.575200000001,227089.38000000003,227089.38,0,specific_heat_loss_z_W_m2K_descending_current_state,physical-state order then TABULA type number,TABULA_existing_to_TABULA_advanced_A_proxy,false
