region,archetype_id,dwelling_type,construction_period,baseline_state,renovation_priority,renovation_share_2025,annual_renovation_rate_low,annual_renovation_rate_central,annual_renovation_rate_high,renovation_rate_scenario_meaning,target_label_2050,target_energy_score_2050_kWh_m2_year,policy_source,policy_target_note
Brussels-Capital Region,BE_TABULA_16,Detached house,1991-2005,TABULA-as-is,medium,0,0.008,0.025,0.04,low = secondary current-rate estimate; central = conservative policy-compatible assumption; high = accelerated,C+ / 100 kWh/m2.year,100,https://environnement.brussels/citoyen/politique-regionale/plans-strategiques-regionaux/renolution-une-strategie-pour-renover-le-bati-bruxellois,
Brussels-Capital Region,BE_TABULA_17,Semi-detached house,1991-2005,TABULA-as-is,medium,0,0.008,0.025,0.04,low = secondary current-rate estimate; central = conservative policy-compatible assumption; high = accelerated,C+ / 100 kWh/m2.year,100,https://environnement.brussels/citoyen/politique-regionale/plans-strategiques-regionaux/renolution-une-strategie-pour-renover-le-bati-bruxellois,
Brussels-Capital Region,BE_TABULA_18,Terraced house,1991-2005,TABULA-as-is,medium,0,0.008,0.025,0.04,low = secondary current-rate estimate; central = conservative policy-compatible assumption; high = accelerated,C+ / 100 kWh/m2.year,100,https://environnement.brussels/citoyen/politique-regionale/plans-strategiques-regionaux/renolution-une-strategie-pour-renover-le-bati-bruxellois,
Brussels-Capital Region,BE_TABULA_19,"Apartment, enclosed",1991-2005,TABULA-as-is,medium,0,0.008,0.025,0.04,low = secondary current-rate estimate; central = conservative policy-compatible assumption; high = accelerated,C+ / 100 kWh/m2.year,100,https://environnement.brussels/citoyen/politique-regionale/plans-strategiques-regionaux/renolution-une-strategie-pour-renover-le-bati-bruxellois,
Brussels-Capital Region,BE_TABULA_20,"Apartment, exposed",1991-2005,TABULA-as-is,medium,0,0.008,0.025,0.04,low = secondary current-rate estimate; central = conservative policy-compatible assumption; high = accelerated,C+ / 100 kWh/m2.year,100,https://environnement.brussels/citoyen/politique-regionale/plans-strategiques-regionaux/renolution-une-strategie-pour-renover-le-bati-bruxellois,
Brussels-Capital Region,BE_TABULA_21,Detached house,post-2005,TABULA-as-is,low,0,0.008,0.025,0.04,low = secondary current-rate estimate; central = conservative policy-compatible assumption; high = accelerated,C+ / 100 kWh/m2.year,100,https://environnement.brussels/citoyen/politique-regionale/plans-strategiques-regionaux/renolution-une-strategie-pour-renover-le-bati-bruxellois,
Brussels-Capital Region,BE_TABULA_22,Semi-detached house,post-2005,TABULA-as-is,low,0,0.008,0.025,0.04,low = secondary current-rate estimate; central = conservative policy-compatible assumption; high = accelerated,C+ / 100 kWh/m2.year,100,https://environnement.brussels/citoyen/politique-regionale/plans-strategiques-regionaux/renolution-une-strategie-pour-renover-le-bati-bruxellois,
Brussels-Capital Region,BE_TABULA_23,Terraced house,post-2005,TABULA-as-is,low,0,0.008,0.025,0.04,low = secondary current-rate estimate; central = conservative policy-compatible assumption; high = accelerated,C+ / 100 kWh/m2.year,100,https://environnement.brussels/citoyen/politique-regionale/plans-strategiques-regionaux/renolution-une-strategie-pour-renover-le-bati-bruxellois,
Brussels-Capital Region,BE_TABULA_24,"Apartment, enclosed",post-2005,TABULA-as-is,low,0,0.008,0.025,0.04,low = secondary current-rate estimate; central = conservative policy-compatible assumption; high = accelerated,C+ / 100 kWh/m2.year,100,https://environnement.brussels/citoyen/politique-regionale/plans-strategiques-regionaux/renolution-une-strategie-pour-renover-le-bati-bruxellois,
Brussels-Capital Region,BE_TABULA_25,"Apartment, exposed",post-2005,TABULA-as-is,low,0,0.008,0.025,0.04,low = secondary current-rate estimate; central = conservative policy-compatible assumption; high = accelerated,C+ / 100 kWh/m2.year,100,https://environnement.brussels/citoyen/politique-regionale/plans-strategiques-regionaux/renolution-une-strategie-pour-renover-le-bati-bruxellois,
