scenario,target_year,region,archetype_id,dwelling_type,construction_period,renovation_state,regional_number_of_dwellings,regional_modelled_stock_dwellings,allocation_share_within_region,renovated_fraction,state_dwellings,state_share_within_region,annual_renovation_rate_scenario,target_label_2050,target_energy_score_2050_kWh_m2_year,renovation_package_id,U_wall_renovated,U_roof_renovated,U_floor_renovated,U_window_renovated,v50_renovated,ventilation_after_renovation,hrv_eta,summer_bypass,renovation_package_source,policy_source
low,2050,Flemish Region,BE_TABULA_13,Terraced house,1971-1990,renovated_TABULA_low_energy,157245.716048,3244134,0.047853623876,0.148090109042,23286.535235901505,0.007178043581,0.006,label A / 100 kWh/m2.year,100,TABULA_low_energy,0.25,0.15,0.25,1.6,2.5,mechanical_ventilation_heat_recovery_eta_0.8_with_bypass,0.8,true,"Belgian TABULA/VITO Scientific Report, Low Energy upgrade scenario",https://www.vlaanderen.be/veka/energie-en-klimaatbeleid/vlaamse-langetermijnrenovatiestrategie-voor-gebouwen-2050
low,2050,Flemish Region,BE_TABULA_14,"Apartment, enclosed",1971-1990,as_is_TABULA,112540.548001,3244134,0.034248774404,0.148090109042,95874.40597584273,0.029553158401,0.006,label A / 100 kWh/m2.year,100,,,,,,,,,,,https://www.vlaanderen.be/veka/energie-en-klimaatbeleid/vlaamse-langetermijnrenovatiestrategie-voor-gebouwen-2050
low,2050,Flemish Region,BE_TABULA_14,"Apartment, enclosed",1971-1990,renovated_TABULA_low_energy,112540.548001,3244134,0.034248774404,0.148090109042,16666.142025157274,0.005137316161,0.006,label A / 100 kWh/m2.year,100,TABULA_low_energy,0.25,0.15,0.25,1.6,2.5,mechanical_ventilation_heat_recovery_eta_0.8_with_bypass,0.8,true,"Belgian TABULA/VITO Scientific Report, Low Energy upgrade scenario",https://www.vlaanderen.be/veka/energie-en-klimaatbeleid/vlaamse-langetermijnrenovatiestrategie-voor-gebouwen-2050
low,2050,Flemish Region,BE_TABULA_15,"Apartment, exposed",1971-1990,as_is_TABULA,112540.548001,3244134,0.034248774404,0.148090109042,95874.40597584273,0.029553158401,0.006,label A / 100 kWh/m2.year,100,,,,,,,,,,,https://www.vlaanderen.be/veka/energie-en-klimaatbeleid/vlaamse-langetermijnrenovatiestrategie-voor-gebouwen-2050
low,2050,Flemish Region,BE_TABULA_15,"Apartment, exposed",1971-1990,renovated_TABULA_low_energy,112540.548001,3244134,0.034248774404,0.148090109042,16666.142025157274,0.005137316161,0.006,label A / 100 kWh/m2.year,100,TABULA_low_energy,0.25,0.15,0.25,1.6,2.5,mechanical_ventilation_heat_recovery_eta_0.8_with_bypass,0.8,true,"Belgian TABULA/VITO Scientific Report, Low Energy upgrade scenario",https://www.vlaanderen.be/veka/energie-en-klimaatbeleid/vlaamse-langetermijnrenovatiestrategie-voor-gebouwen-2050
low,2050,Flemish Region,BE_TABULA_16,Detached house,1991-2005,as_is_TABULA,137901.924756,3244134,0.027977897713,0.098726739362,124287.31737315882,0.038311400631,0.006,label A / 100 kWh/m2.year,100,,,,,,,,,,,https://www.vlaanderen.be/veka/energie-en-klimaatbeleid/vlaamse-langetermijnrenovatiestrategie-voor-gebouwen-2050
low,2050,Flemish Region,BE_TABULA_16,Detached house,1991-2005,renovated_TABULA_low_energy,137901.924756,3244134,0.027977897713,0.098726739362,13614.60738284117,0.004196684657,0.006,label A / 100 kWh/m2.year,100,TABULA_low_energy,0.25,0.15,0.25,1.6,2.5,mechanical_ventilation_heat_recovery_eta_0.8_with_bypass,0.8,true,"Belgian TABULA/VITO Scientific Report, Low Energy upgrade scenario",https://www.vlaanderen.be/veka/energie-en-klimaatbeleid/vlaamse-langetermijnrenovatiestrategie-voor-gebouwen-2050
low,2050,Flemish Region,BE_TABULA_17,Semi-detached house,1991-2005,as_is_TABULA,93347.9931976,3244134,0.018938681313,0.098726739362,84132.05020324847,0.025933592818,0.006,label A / 100 kWh/m2.year,100,,,,,,,,,,,https://www.vlaanderen.be/veka/energie-en-klimaatbeleid/vlaamse-langetermijnrenovatiestrategie-voor-gebouwen-2050
low,2050,Flemish Region,BE_TABULA_17,Semi-detached house,1991-2005,renovated_TABULA_low_energy,93347.9931976,3244134,0.018938681313,0.098726739362,9215.94299435153,0.002840802197,0.006,label A / 100 kWh/m2.year,100,TABULA_low_energy,0.25,0.15,0.25,1.6,2.5,mechanical_ventilation_heat_recovery_eta_0.8_with_bypass,0.8,true,"Belgian TABULA/VITO Scientific Report, Low Energy upgrade scenario",https://www.vlaanderen.be/veka/energie-en-klimaatbeleid/vlaamse-langetermijnrenovatiestrategie-voor-gebouwen-2050
low,2050,Flemish Region,BE_TABULA_18,Terraced house,1991-2005,as_is_TABULA,104666.485847,3244134,0.021235006257,0.098726739361,94333.10497891268,0.029078054414,0.006,label A / 100 kWh/m2.year,100,,,,,,,,,,,https://www.vlaanderen.be/veka/energie-en-klimaatbeleid/vlaamse-langetermijnrenovatiestrategie-voor-gebouwen-2050
low,2050,Flemish Region,BE_TABULA_18,Terraced house,1991-2005,renovated_TABULA_low_energy,104666.485847,3244134,0.021235006257,0.098726739361,10333.380868087317,0.003185250938,0.006,label A / 100 kWh/m2.year,100,TABULA_low_energy,0.25,0.15,0.25,1.6,2.5,mechanical_ventilation_heat_recovery_eta_0.8_with_bypass,0.8,true,"Belgian TABULA/VITO Scientific Report, Low Energy upgrade scenario",https://www.vlaanderen.be/veka/energie-en-klimaatbeleid/vlaamse-langetermijnrenovatiestrategie-voor-gebouwen-2050
low,2050,Flemish Region,BE_TABULA_19,"Apartment, enclosed",1991-2005,as_is_TABULA,74909.6634914,3244134,0.015197865487,0.098726739361,67514.07666823218,0.020811124531,0.006,label A / 100 kWh/m2.year,100,,,,,,,,,,,https://www.vlaanderen.be/veka/energie-en-klimaatbeleid/vlaamse-langetermijnrenovatiestrategie-voor-gebouwen-2050
low,2050,Flemish Region,BE_TABULA_19,"Apartment, enclosed",1991-2005,renovated_TABULA_low_energy,74909.6634914,3244134,0.015197865487,0.098726739361,7395.586823167812,0.002279679823,0.006,label A / 100 kWh/m2.year,100,TABULA_low_energy,0.25,0.15,0.25,1.6,2.5,mechanical_ventilation_heat_recovery_eta_0.8_with_bypass,0.8,true,"Belgian TABULA/VITO Scientific Report, Low Energy upgrade scenario",https://www.vlaanderen.be/veka/energie-en-klimaatbeleid/vlaamse-langetermijnrenovatiestrategie-voor-gebouwen-2050
low,2050,Flemish Region,BE_TABULA_20,"Apartment, exposed",1991-2005,as_is_TABULA,74909.6634914,3244134,0.015197865487,0.098726739361,67514.07666823218,0.020811124531,0.006,label A / 100 kWh/m2.year,100,,,,,,,,,,,https://www.vlaanderen.be/veka/energie-en-klimaatbeleid/vlaamse-langetermijnrenovatiestrategie-voor-gebouwen-2050
