archetype_id,dwelling_type,dwelling_class,construction_period,state_id,floor_area_m2,occupant_count,active_occupancy_hours,annual_internal_gains_kWh_m2,constant_heating_kWh_m2,behavioural_heating_kWh_m2,heating_change_kWh_m2,heating_change_percent,constant_cooling_kWh_m2,behavioural_cooling_kWh_m2,cooling_change_kWh_m2,cooling_change_percent,constant_peak_heating_W,behavioural_peak_heating_W,constant_peak_cooling_W,behavioural_peak_cooling_W,max_energy_balance_residual_W,max_heating_setpoint_error_K,max_cooling_setpoint_error_K,simultaneous_heating_cooling,warmup_cycles,weather_member_id,occupant_seed,thermal_assumptions_sha256,behaviour_assumptions_sha256,occupant_distribution_sha256,weather_forcing_sha256
BE_TABULA_07,Semi-detached house,SFH,1946-1970,TABULA_advanced_A_proxy,193.4,2,4963,20.330282661153994,26.125841527749344,27.07928877715935,0.9534472494100044,3.649441295115062,3.0880065140939377,2.4761535472644964,-0.6118529668294412,-19.813849615824633,3014.071897538408,5754.75215358539,3161.358159883903,3502.7449116720854,8.713740839993989e-11,2.4868995751603507e-14,1.4210854715202004e-14,False,2,pvgis_sarah3_observed_2015_reference,20250805,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,2ad0e9f7bbdfe12695c931891fd0e8132d060fd7bcbca23623db43d4c7393a5c,561839806dcdb8279ac4e42025bc5a82751f2588a2b2066fa84637918d8e4896,87c8f479871bbba9643acc6783e8d96e15f3e7330cc99bdbac343d24ee04ad9a
BE_TABULA_08,Terraced house,SFH,1946-1970,TABULA_existing,198.8,2,4963,19.778051643195084,203.09462677289994,188.99247889899252,-14.102147873907427,-6.9436341561495,1.0939297241793118,0.9706233148231298,-0.12330640935618198,-11.271876669105865,13887.997955137904,16300.972131643175,5405.297544802254,5639.596841514692,1.1027623258996755e-10,3.907985046680551e-14,2.1316282072803006e-14,False,2,pvgis_sarah3_observed_2015_reference,20250805,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,2ad0e9f7bbdfe12695c931891fd0e8132d060fd7bcbca23623db43d4c7393a5c,561839806dcdb8279ac4e42025bc5a82751f2588a2b2066fa84637918d8e4896,87c8f479871bbba9643acc6783e8d96e15f3e7330cc99bdbac343d24ee04ad9a
BE_TABULA_08,Terraced house,SFH,1946-1970,TABULA_standard_B_proxy,198.8,2,4963,19.778051643195084,64.93226880660886,63.246446159150615,-1.6858226474582452,-2.596278673827366,1.3842072575950177,1.0173655411592497,-0.366841716435768,-26.50193563304493,5588.321714657678,8395.085039873878,3664.0502726370114,3884.279037711792,6.45741238258779e-11,3.907985046680551e-14,1.0658141036401503e-14,False,2,pvgis_sarah3_observed_2015_reference,20250805,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,2ad0e9f7bbdfe12695c931891fd0e8132d060fd7bcbca23623db43d4c7393a5c,561839806dcdb8279ac4e42025bc5a82751f2588a2b2066fa84637918d8e4896,87c8f479871bbba9643acc6783e8d96e15f3e7330cc99bdbac343d24ee04ad9a
BE_TABULA_08,Terraced house,SFH,1946-1970,TABULA_advanced_A_proxy,198.8,2,4963,19.778051643195084,18.574642589165016,20.11113457955432,1.5364919903893046,8.271986839119979,3.698226160208927,2.9439889992964243,-0.7542371609125027,-20.39456561709825,2502.925383167497,5311.14245388803,3071.5059432317767,3407.5113701377577,7.480593922082335e-11,2.1316282072803006e-14,1.4210854715202004e-14,False,2,pvgis_sarah3_observed_2015_reference,20250805,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,2ad0e9f7bbdfe12695c931891fd0e8132d060fd7bcbca23623db43d4c7393a5c,561839806dcdb8279ac4e42025bc5a82751f2588a2b2066fa84637918d8e4896,87c8f479871bbba9643acc6783e8d96e15f3e7330cc99bdbac343d24ee04ad9a
BE_TABULA_09,"Apartment, enclosed",MFH,1946-1970,TABULA_existing,100.1,1,4183,37.29324009324136,105.69853760710176,85.38707269269456,-20.311464914407196,-19.216410533424916,2.66613477440031,3.7698022008282597,1.1036674264279496,41.39578527781649,4528.968143252873,5832.7635531419855,2923.564451824745,4447.641330163432,2.7057467377744615e-11,3.907985046680551e-14,2.1316282072803006e-14,False,2,pvgis_sarah3_observed_2015_reference,20250805,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,2ad0e9f7bbdfe12695c931891fd0e8132d060fd7bcbca23623db43d4c7393a5c,561839806dcdb8279ac4e42025bc5a82751f2588a2b2066fa84637918d8e4896,87c8f479871bbba9643acc6783e8d96e15f3e7330cc99bdbac343d24ee04ad9a
BE_TABULA_09,"Apartment, enclosed",MFH,1946-1970,TABULA_standard_B_proxy,100.1,1,4183,37.29324009324136,36.4439337102289,26.42862543038208,-10.015308279846817,-27.481413942523364,4.707657276721636,6.807370009872738,2.099712733151102,44.602072957471535,2206.232632523877,3575.578661521818,2293.195392234873,3900.860722026,4.274625098332763e-11,1.7763568394002505e-14,2.1316282072803006e-14,False,2,pvgis_sarah3_observed_2015_reference,20250805,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,2ad0e9f7bbdfe12695c931891fd0e8132d060fd7bcbca23623db43d4c7393a5c,561839806dcdb8279ac4e42025bc5a82751f2588a2b2066fa84637918d8e4896,87c8f479871bbba9643acc6783e8d96e15f3e7330cc99bdbac343d24ee04ad9a
BE_TABULA_09,"Apartment, enclosed",MFH,1946-1970,TABULA_advanced_A_proxy,100.1,1,4183,37.29324009324136,7.6346829038736885,3.613102385010198,-4.021580518863491,-52.67514799891715,9.479447624022768,13.923187871642243,4.443740247619475,46.877628569392286,978.6835863298011,2362.2326562167186,2033.2753878280682,3656.5305008254427,4.069988790433854e-11,1.0658141036401503e-14,2.4868995751603507e-14,False,2,pvgis_sarah3_observed_2015_reference,20250805,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,2ad0e9f7bbdfe12695c931891fd0e8132d060fd7bcbca23623db43d4c7393a5c,561839806dcdb8279ac4e42025bc5a82751f2588a2b2066fa84637918d8e4896,87c8f479871bbba9643acc6783e8d96e15f3e7330cc99bdbac343d24ee04ad9a
BE_TABULA_10,"Apartment, exposed",MFH,1946-1970,TABULA_existing,100.1,1,4183,37.29324009324136,294.900069739753,254.30321795671276,-40.59685178304025,-13.76630796285218,1.8328600066399163,2.2598182786250414,0.42695827198512504,23.294647187367282,10016.983942693909,11067.236317392348,3678.177695321722,5310.7399996610975,5.88826765124395e-11,6.394884621840902e-14,3.197442310920451e-14,False,2,pvgis_sarah3_observed_2015_reference,20250805,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,2ad0e9f7bbdfe12695c931891fd0e8132d060fd7bcbca23623db43d4c7393a5c,561839806dcdb8279ac4e42025bc5a82751f2588a2b2066fa84637918d8e4896,87c8f479871bbba9643acc6783e8d96e15f3e7330cc99bdbac343d24ee04ad9a
BE_TABULA_10,"Apartment, exposed",MFH,1946-1970,TABULA_standard_B_proxy,100.1,1,4183,37.29324009324136,80.48064478367773,63.382603975450714,-17.09804080822702,-21.244910318728795,2.293215906998708,3.5107548341593957,1.2175389271606876,53.09307873911296,3599.8948672485108,4963.923978541126,2448.6185080138516,4037.7055966394537,3.9108272176235914e-11,3.197442310920451e-14,2.4868995751603507e-14,False,2,pvgis_sarah3_observed_2015_reference,20250805,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,2ad0e9f7bbdfe12695c931891fd0e8132d060fd7bcbca23623db43d4c7393a5c,561839806dcdb8279ac4e42025bc5a82751f2588a2b2066fa84637918d8e4896,87c8f479871bbba9643acc6783e8d96e15f3e7330cc99bdbac343d24ee04ad9a
BE_TABULA_10,"Apartment, exposed",MFH,1946-1970,TABULA_advanced_A_proxy,100.1,1,4183,37.29324009324136,24.530873534441348,16.8982617783408,-7.632611756100548,-31.114308854042072,5.1648183107133585,7.422286316963351,2.2574680062499928,43.70856573148638,1729.9069553496904,3131.45757070917,2107.495507378699,3734.883457928617,5.047695594839752e-11,1.7763568394002505e-14,1.7763568394002505e-14,False,2,pvgis_sarah3_observed_2015_reference,20250805,4b5b7791539478f9b2562d1b176e235ac7b641e1afdc40c3d5242661d9dbed3d,2ad0e9f7bbdfe12695c931891fd0e8132d060fd7bcbca23623db43d4c7393a5c,561839806dcdb8279ac4e42025bc5a82751f2588a2b2066fa84637918d8e4896,87c8f479871bbba9643acc6783e8d96e15f3e7330cc99bdbac343d24ee04ad9a
