timestamp_utc,active_occupants_mean,active_occupancy,appliance_electricity_W,lighting_electricity_W,total_electricity_W,occupant_sensible_gain_W,appliance_sensible_gain_W,lighting_sensible_gain_W,Phi_int_W,theta_set_heat_C,theta_set_cool_C
2015-10-08 02:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-10-08 03:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-10-08 04:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-10-08 05:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-10-08 06:00:00+00:00,0.8333333333333334,True,1419.572942164026,55.68841872543203,1475.261360889458,58.333333333333336,1419.572942164026,55.68841872543203,1533.5946942227913,20.0,26.0
2015-10-08 07:00:00+00:00,0.0,False,152.4773117058297,0.0,152.4773117058297,0.0,152.4773117058297,0.0,152.4773117058297,18.0,26.0
2015-10-08 08:00:00+00:00,0.16666666666666666,True,202.05211054944795,0.0,202.05211054944795,11.666666666666666,202.05211054944795,0.0,213.7187772161146,20.0,26.0
2015-10-08 09:00:00+00:00,1.0,True,356.81875885707257,83.93616735427435,440.7549262113469,70.0,356.81875885707257,83.93616735427435,510.7549262113469,20.0,26.0
2015-10-08 10:00:00+00:00,1.0,True,1164.2179993365157,119.56868455322837,1283.7866838897442,70.0,1164.2179993365157,119.56868455322837,1353.7866838897442,20.0,26.0
2015-10-08 11:00:00+00:00,1.0,True,376.93786290672836,181.35054619716774,558.2884091038961,70.0,376.93786290672836,181.35054619716774,628.2884091038961,20.0,26.0
2015-10-08 12:00:00+00:00,0.6666666666666666,True,434.1030884552955,66.0190239382658,500.12211239356134,46.666666666666664,434.1030884552955,66.0190239382658,546.788779060228,20.0,26.0
2015-10-08 13:00:00+00:00,0.5,True,159.01326551208402,34.30083762073712,193.31410313282115,35.0,159.01326551208402,34.30083762073712,228.31410313282115,20.0,26.0
2015-10-08 14:00:00+00:00,1.0,True,480.8954106872074,194.99017339223738,675.8855840794448,70.0,480.8954106872074,194.99017339223738,745.8855840794448,20.0,26.0
2015-10-08 15:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-10-08 16:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-10-08 17:00:00+00:00,0.6666666666666666,True,954.269479572213,49.23179046741093,1003.5012700396239,46.666666666666664,954.269479572213,49.23179046741093,1050.1679367062904,20.0,26.0
2015-10-08 18:00:00+00:00,1.0,True,366.2958328871262,96.44588460419025,462.7417174913165,70.0,366.2958328871262,96.44588460419025,532.7417174913164,20.0,26.0
2015-10-08 19:00:00+00:00,1.0,True,384.1131972392279,102.90251286221134,487.0157101014392,70.0,384.1131972392279,102.90251286221134,557.0157101014393,20.0,26.0
2015-10-08 20:00:00+00:00,1.0,True,988.0050171137144,103.70959139446403,1091.7146085081783,70.0,988.0050171137144,103.70959139446403,1161.7146085081786,20.0,26.0
2015-10-08 21:00:00+00:00,0.8333333333333334,True,2566.4392457526988,95.15455895258603,2661.5938047052846,58.333333333333336,2566.4392457526988,95.15455895258603,2719.927138038618,20.0,26.0
2015-10-08 22:00:00+00:00,0.0,False,163.19127922148346,0.0,163.19127922148346,0.0,163.19127922148346,0.0,163.19127922148346,18.0,26.0
2015-10-08 23:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-10-09 00:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-10-09 01:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-10-09 02:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-10-09 03:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-10-09 04:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-10-09 05:00:00+00:00,0.3333333333333333,True,479.4979014551655,14.527413580547485,494.025315035713,23.333333333333332,479.4979014551655,14.527413580547485,517.3586483690463,20.0,26.0
2015-10-09 06:00:00+00:00,0.16666666666666666,True,276.428766731012,12.06582405717694,288.49459078818893,11.666666666666666,276.428766731012,12.06582405717694,300.1612574548556,20.0,26.0
2015-10-09 07:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-10-09 08:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-10-09 09:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-10-09 10:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-10-09 11:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-10-09 12:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-10-09 13:00:00+00:00,0.16666666666666666,True,276.4287667310119,2.2598198903073863,278.68858662131925,11.666666666666666,276.4287667310119,2.2598198903073863,290.35525328798593,20.0,26.0
2015-10-09 14:00:00+00:00,0.8333333333333334,True,377.7890436793139,62.89159462578682,440.68063830510073,58.333333333333336,377.7890436793139,62.89159462578682,499.01397163843404,20.0,26.0
2015-10-09 15:00:00+00:00,0.5,True,131.59766669135357,23.42545439863282,155.02312108998638,35.0,131.59766669135357,23.42545439863282,190.02312108998638,20.0,26.0
2015-10-09 16:00:00+00:00,1.0,True,2134.667028533635,49.171259577491966,2183.838288111127,70.0,2134.667028533635,49.171259577491966,2253.838288111127,20.0,26.0
2015-10-09 17:00:00+00:00,1.0,True,927.6953980775936,113.05152540528826,1040.7469234828818,70.0,927.6953980775936,113.05152540528826,1110.7469234828818,20.0,26.0
2015-10-09 18:00:00+00:00,1.0,True,703.1721259919087,63.718850121345774,766.8909761132545,70.0,703.1721259919087,63.718850121345774,836.8909761132545,20.0,26.0
2015-10-09 19:00:00+00:00,0.3333333333333333,True,977.6916854455925,44.49020409042668,1022.1818895360192,23.333333333333332,977.6916854455925,44.49020409042668,1045.5152228693526,20.0,26.0
2015-10-09 20:00:00+00:00,0.3333333333333333,True,843.2613823346916,27.037130830463372,870.298513165155,23.333333333333332,843.2613823346916,27.037130830463372,893.6318464984884,20.0,26.0
2015-10-09 21:00:00+00:00,1.0,True,1092.556471153873,89.9287254562502,1182.4851966101232,70.0,1092.556471153873,89.9287254562502,1252.4851966101232,20.0,26.0
2015-10-09 22:00:00+00:00,1.0,True,846.69756895192,66.94716425035634,913.6447332022763,70.0,846.69756895192,66.94716425035634,983.6447332022763,20.0,26.0
2015-10-09 23:00:00+00:00,0.5,True,151.71869573251405,4.277516220938982,155.99621195345304,35.0,151.71869573251405,4.277516220938982,190.99621195345304,20.0,26.0
2015-10-10 00:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-10-10 01:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-10-10 02:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-10-10 03:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-10-10 04:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-10-10 05:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-10-10 06:00:00+00:00,0.6666666666666666,True,1075.9841640858851,114.54462068995568,1190.528784775841,46.666666666666664,1075.9841640858851,114.54462068995568,1237.1954514425076,20.0,26.0
2015-10-10 07:00:00+00:00,1.0,True,585.1767472321786,195.7165440712648,780.8932913034434,70.0,585.1767472321786,195.7165440712648,850.8932913034434,20.0,26.0
2015-10-10 08:00:00+00:00,1.0,True,610.9531941038738,143.82139444742012,754.7745885512938,70.0,610.9531941038738,143.82139444742012,824.7745885512938,20.0,26.0
2015-10-10 09:00:00+00:00,1.0,True,250.43258497422434,163.35269492793398,413.7852799021583,70.0,250.43258497422434,163.35269492793398,483.7852799021583,20.0,26.0
2015-10-10 10:00:00+00:00,1.0,True,211.70348774263894,267.5465334417496,479.2500211843885,70.0,211.70348774263894,267.5465334417496,549.2500211843885,20.0,26.0
2015-10-10 11:00:00+00:00,1.0,True,1276.1033437875772,219.38412202957326,1495.4874658171505,70.0,1276.1033437875772,219.38412202957326,1565.4874658171505,20.0,26.0
2015-10-10 12:00:00+00:00,1.0,True,1069.4509740074175,238.31011361089776,1307.7610876183153,70.0,1069.4509740074175,238.31011361089776,1377.7610876183153,20.0,26.0
2015-10-10 13:00:00+00:00,1.0,True,1490.055993189371,124.99628768262731,1615.0522808719984,70.0,1490.055993189371,124.99628768262731,1685.0522808719984,20.0,26.0
2015-10-10 14:00:00+00:00,1.0,True,779.1515441101786,43.420825035191925,822.5723691453705,70.0,779.1515441101786,43.420825035191925,892.5723691453705,20.0,26.0
2015-10-10 15:00:00+00:00,1.0,True,1945.718665222917,172.14985092948774,2117.868516152405,70.0,1945.718665222917,172.14985092948774,2187.868516152405,20.0,26.0
2015-10-10 16:00:00+00:00,1.0,True,791.2555602540659,192.28646030919106,983.542020563257,70.0,791.2555602540659,192.28646030919106,1053.542020563257,20.0,26.0
2015-10-10 17:00:00+00:00,0.0,False,224.50907070937762,0.0,224.50907070937762,0.0,224.50907070937762,0.0,224.50907070937762,18.0,26.0
2015-10-10 18:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-10-10 19:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-10-10 20:00:00+00:00,0.8333333333333334,True,213.5925042240493,50.321346485951985,263.91385071000127,58.333333333333336,213.5925042240493,50.321346485951985,322.24718404333464,20.0,26.0
2015-10-10 21:00:00+00:00,0.3333333333333333,True,125.03207856991982,59.56239568024469,184.59447425016452,23.333333333333332,125.03207856991982,59.56239568024469,207.92780758349784,20.0,26.0
2015-10-10 22:00:00+00:00,0.6666666666666666,True,1150.5610921612,37.10543552031504,1187.666527681515,46.666666666666664,1150.5610921612,37.10543552031504,1234.3331943481817,20.0,26.0
2015-10-10 23:00:00+00:00,0.16666666666666666,True,61.741507717326826,3.631853395136871,65.3733611124637,11.666666666666666,61.741507717326826,3.631853395136871,77.04002777913037,20.0,26.0
2015-10-11 00:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-10-11 01:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-10-11 02:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-10-11 03:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-10-11 04:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-10-11 05:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-10-11 06:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-10-11 07:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-10-11 08:00:00+00:00,0.6666666666666666,True,212.2317830814468,12.832548662816945,225.06433174426374,46.666666666666664,212.2317830814468,12.832548662816945,271.7309984109304,20.0,26.0
2015-10-11 09:00:00+00:00,1.0,True,213.47673388368196,166.25817764404346,379.73491152772544,70.0,213.47673388368196,166.25817764404346,449.73491152772544,20.0,26.0
2015-10-11 10:00:00+00:00,1.0,True,851.410517020117,193.5374320341826,1044.9479490542997,70.0,851.410517020117,193.5374320341826,1114.9479490542997,20.0,26.0
2015-10-11 11:00:00+00:00,1.0,True,733.7409709134384,156.2504038441108,889.9913747575492,70.0,733.7409709134384,156.2504038441108,959.9913747575492,20.0,26.0
2015-10-11 12:00:00+00:00,0.5,True,416.4744418719032,84.5011223268512,500.9755641987544,35.0,416.4744418719032,84.5011223268512,535.9755641987545,20.0,26.0
2015-10-11 13:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-10-11 14:00:00+00:00,0.16666666666666666,True,86.70460738859471,1.6343340278115923,88.3389414164063,11.666666666666666,86.70460738859471,1.6343340278115923,100.00560808307297,20.0,26.0
2015-10-11 15:00:00+00:00,1.0,True,1133.1815489868072,105.44481023880716,1238.6263592256144,70.0,1133.1815489868072,105.44481023880716,1308.6263592256144,20.0,26.0
2015-10-11 16:00:00+00:00,1.0,True,319.79603804446134,163.43340278115923,483.2294408256206,70.0,319.79603804446134,163.43340278115923,553.2294408256206,20.0,26.0
2015-10-11 17:00:00+00:00,0.8333333333333334,True,1181.0243249193702,196.52362260351737,1377.5479475228876,58.333333333333336,1181.0243249193702,196.52362260351737,1435.8812808562209,20.0,26.0
2015-10-11 18:00:00+00:00,0.0,False,228.92782567346083,0.0,228.92782567346083,0.0,228.92782567346083,0.0,228.92782567346083,18.0,26.0
2015-10-11 19:00:00+00:00,0.0,False,214.33988120299438,0.0,214.33988120299438,0.0,214.33988120299438,0.0,214.33988120299438,18.0,26.0
2015-10-11 20:00:00+00:00,0.16666666666666666,True,87.14214612686534,2.0176963306315954,89.15984245749694,11.666666666666666,87.14214612686534,2.0176963306315954,100.82650912416361,20.0,26.0
2015-10-11 21:00:00+00:00,1.0,True,409.46842970513813,88.61722284133968,498.08565254647783,70.0,409.46842970513813,88.61722284133968,568.0856525464778,20.0,26.0
2015-10-11 22:00:00+00:00,0.8333333333333334,True,2484.556240240557,84.07740609741857,2568.6336463379757,58.333333333333336,2484.556240240557,84.07740609741857,2626.966979671309,20.0,26.0
2015-10-11 23:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-10-12 00:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-10-12 01:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-10-12 02:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
2015-10-12 03:00:00+00:00,0.0,False,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,0.0,61.741507717326826,18.0,26.0
